"LANGUAGE","日本語","Language name (in native language)."
"LANGUAGE_CHOICE","言語を選択","Heading for language selection menu."
"LANGUAGE_GAME","ゲームの言語を使用","Default selection in language selection menu."
"NOTE_CLOSE","閉じる","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","次回から非表示","Notification button text - don't show this notification again."
"NO","いいえ","Notification button text - don't perform this action."
"YES","はい","Notification button text - perfom this action."
"PRESS_ANY_KEY","何かキーを押してください","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","MODの競合を検出！！","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","MODが正常に起動できずに、動作をシャットダウンしました。","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","競合するMOD:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","MODで必要なHarmony2のパッチ動作で、適用と完了ができませんでした。","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","エラーの原因として考えられるのは、以下の通りです。","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","MODの依存関係で必要なHarmony2が、インストール/有効化されていません。","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","古いMODや壊れたMODが、Harmony2の正常な動作を阻害しています。","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","競合する他のMODが、Harmony2のパッチを重複して適用しようとしています。
","Possible cause of Harmony error - two mods trying to patch the same thing at once."
