"LANGUAGE","Português Brasileiro","Language name (in native language)."
"LANGUAGE_CHOICE","Escolha o idioma","Heading for language selection menu."
"LANGUAGE_GAME","Usar idioma do jogo","Default selection in language selection menu."
"NOTE_CLOSE","Fechar","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Não mostrar novamente","Notification button text - don't show this notification again."
"NO","Não","Notification button text - don't perform this action."
"YES","Sim","Notification button text - perfom this action."
"PRESS_ANY_KEY","Pressione qualquer tecla","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Conflito entre Mods detectado!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Isto significa que o mod não é capaz de operar e foi desligado.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Os mods em conflito são:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","O mod não foi capaz de aplicar corretamente os patches necessários do harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","As possíveis causas deste problema incluem:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","O mod Harmony 2 não está instalado","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Um mod desatualizado e/ou quebrado está impedindo que o Harmony 2 funcione corretamente","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Outro mod pode estar tentando aplicar um patch Harmony conflitante","Possible cause of Harmony error - two mods trying to patch the same thing at once."
